Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,Total _Years_of _Professional_Experience,Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
35-44,COMPUTING OR TECH,Account Executive,140000,110000,USD,NA,United States,Texas,Plano,11 - 20 years,11 - 20 years,College Degree,Man
35-44,HEALTH CARE,Administrative Director,70500,500,USD,NA,United States,Texas,Plano,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,COMPUTING  OR TECH,Application Technica Analyst,86000,3000,USD,NA,United States,Texas,Plano,11 - 20 years,11 - 20 years,Some College,Man
35-44,"LEISURE, SPORT & TOURISM",Billing And Commission Specialist,40206,0,USD,NA,United States,Texas,Plano,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,UTILITIES & TELECOMMUNICATIONS,Digital Learning Designer,50000,3000,USD,NA,United States,Texas,Plano,11 - 20 years,5-7 years,College Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Financial Systems Manager,119000,15000,USD,NA,United States,Texas,Plano,21 - 30 years,11 - 20 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Human Resources Director,90000,0,USD,NA,United States,Texas,Plano,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,IT Manager,90000,2000,USD,NA,United States,Texas,Plano,11 - 20 years,11 - 20 years,Some College,Woman
35-44,EDUCATION (HIGHER EDUCATION),Lab Assistant,41600,2000,USD,NA,United States,Texas,Plano,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,HEALTH CARE,Pharmacy Technician Supervisor,69000,2000,USD,NA,United States,Texas,Plano,21 - 30 years,21 - 30 years,College Degree,Woman
25-34,LIBRARIES,Public Services Librarian,52125,2000,USD,NA,United States,Texas,Plano,8 - 10 years,5-7 years,Master'S Degree,Woman
25-34,LIBRARIES,Public Services Librarian,56000,0,USD,NA,United States,Texas,Plano,1 year or less,2 - 4 years,Master'S Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Senior Administrative Assistant,38000,2000,USD,NA,United States,Texas,Plano,21 - 30 years,5-7 years,Some College,Woman
25-34,BUSINESS OR CONSULTING,Senior Business Analyst,90000,5000,USD,NA,United States,Texas,Plano,8 - 10 years,8 - 10 years,College Degree,Man
45-54,COMPUTING OR TECH,Senior IT Program Delivery Manager,175000,20000,USD,NA,United States,Texas,Plano,21 - 30 years,21 - 30 years,College Degree,Man
35-44,EDUCATION (PRIMARY/SECONDARY),"Specialist, HR  Systems And Projects",70000,2000,USD,NA,United States,Texas,Plano,11 - 20 years,11 - 20 years,Master'S Degree,Woman
55-64,UTILITIES & TELECOMMUNICATIONS,Supply Manager,130000,16250,USD,NA,United States,Texas,Plano,21 - 30 years,21 - 30 years,Master'S Degree,Woman
35-44,RECRUITMENT OR HR,Talent Operations Associate,51000,4000,USD,NA,United States,Texas,Plano,5-7 years,1 year or less,College Degree,Woman
45-54,CONSULTING,Senior Hazard Mitigation Manager,150000,20000,USD,NA,United States,Florida,Plant City,21 - 30 years,11 - 20 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Lead Audio Engineer,155000,22000,USD,NA,United States,Florida,Plantation,11 - 20 years,5-7 years,College Degree,Man
25-34,LAW,Paralegal,33000,2000,USD,NA,United States,Florida,Plantation,2 - 4 years,2 - 4 years,Some College,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Assistant Vice President / Loan Officer,65000,6500,USD,NA,United States,Missouri,Platte City,11 - 20 years,11 - 20 years,High School,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Public Library Director,63000,0,USD,NA,United States,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Senior Lecturer,52500,3500,USD,NA,United States,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,PROPERTY OR CONSTRUCTION,Administrative Assistant,49000,0,USD,NA,United States,New York,Plattsburgh,11 - 20 years,2 - 4 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Project Associate,53000,0,USD,NA,United States,New York,Plattsburgh,11 - 20 years,2 - 4 years,Master'S Degree,Woman
25-34,LAW,Receptionist,31000,0,USD,NA,United States,New York,Plattsburgh,8 - 10 years,8 - 10 years,Some College,Woman
35-44,RETAIL,Assistant Manager,29000,0,USD,NA,United States,New York,"Plattsburgh, Ny",5-7 years,2 - 4 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,HR  Business Partner,100000,15000,CAD,NA,Canada,Ontario,Plattsville,21 - 30 years,8 - 10 years,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Marketing Team Manager,90000,40000,USD,NA,United States,Utah,Pleasant Grove,5-7 years,5-7 years,College Degree,Woman
18-24,COMPUTING OR TECH,Software Engineer,85000,8500,USD,NA,United States,Utah,Pleasant Grove,2 - 4 years,2 - 4 years,College Degree,Man
55-64,NONPROFITS,Community Project Manager,40,68000,USD,NA,United States,California,Pleasant Hill,31 - 40 years,11 - 20 years,College Degree,Woman
35-44,SALES,Regional Sales Manager,105000,20000,USD,NA,United States,Wisconsin,Pleasant Prarie,11 - 20 years,8 - 10 years,Master'S Degree,Man
35-44,NONPROFITS,Director Business Services,118450,0,USD,NA,United States,California,Pleasanton,21 - 30 years,5-7 years,Master'S Degree,Woman
35-44,SALES,Executive Assistant,132000,2000,USD,NA,United States,California,Pleasanton,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,LAW,Lead Corporate Counsel,191513,19544,USD,NA,United States,California,Pleasanton,11 - 20 years,8 - 10 years,"Professional Degree (MD, Jd, Etc.)",Woman
35-44,SALES,Operations Specialist,71000,2000,USD,NA,United States,California,Pleasanton,11 - 20 years,8 - 10 years,Some College,Woman
35-44,ENGINEERING OR MANUFACTURING,Senior Human Resources Generalisr,96000,2000,USD,NA,United States,California,Pleasanton,8 - 10 years,8 - 10 years,Master'S Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Registration Executive,27900,1000,GBP,NA,"England,United Kingdom",England,Plymouth,5-7 years,5-7 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Marine Engineer,44720,10400,GBP,NA,United Kingdom,Unknown,Plymouth,8 - 10 years,5-7 years,College Degree,Woman
45-54,RECRUITMENT OR HR,Recruitment Consultant,18450,2000,GBP,NA,United Kingdom,Unknown,Plymouth,21 - 30 years,2 - 4 years,College Degree,Woman
55-64,SOCIAL WORK,Clinical Director,71000,0,USD,NA,United States,Massachusetts,Plymouth,31 - 40 years,31 - 40 years,Master'S Degree,Woman
45-54,ENGINEERING OR MANUFACTURING,IT Manager,120000,8400,USD,NA,United States,Michigan,Plymouth,21 - 30 years,21 - 30 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Lead Chemist,70000,2000,USD,NA,United States,Minnesota,Plymouth,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Metallurgical Engineer,88000,10000,USD,NA,United States,Michigan,Plymouth,2 - 4 years,2 - 4 years,PH.D.,Woman
25-34,RETAIL,Receiving Associate,31200,2000,USD,NA,United States,Michigan,Plymouth,5-7 years,5-7 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Senior Field Application Engineer,100597,0,USD,NA,United States,Minnesota,Plymouth,11 - 20 years,11 - 20 years,College Degree,Woman
45-54,"MARKETING, ADVERTISING & PR",Senior Manager,140000,28000,USD,NA,United States,Minnesota,Plymouth,21 - 30 years,21 - 30 years,College Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Speech-Language Pathologist,44000,2000,USD,NA,United States,New Hampshire,Plymouth,2 - 4 years,1 year or less,Master'S Degree,Woman
35-44,UTILITIES & TELECOMMUNICATIONS,Vice President Human Resources,159000,30000,USD,NA,United States,Minnesota,Plymouth,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,HEALTH CARE,Patient Care Coordinator,45500,500,USD,NA,United States,Massachusetts,Plymouth,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,HEALTH CARE,Endoscopy It Manager,24907,0,GBP,NA,United Kingdom,Unknown,Plymouth (Uk),8 - 10 years,2 - 4 years,Master'S Degree,Woman
45-54,RETAIL,Shift Leader,21500,2000,GBP,NA,United Kingdom,Unknown,Plymouth England,21 - 30 years,2 - 4 years,Some College,Woman
35-44,HEALTH CARE,Project Manager/Weiter,89000,0,USD,NA,United States,Pennsylvania,Plymouth Meeting,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,NONPROFITS,Research Analyst,82400,500,USD,NA,United States,Pennsylvania,Plymouth Meeting,11 - 20 years,2 - 4 years,PH.D.,Woman
45-54,ENGINEERING OR MANUFACTURING,Senior Project Engineer,175000,0,USD,NA,United States,Pennsylvania,Plymouth Meeting,11 - 20 years,11 - 20 years,College Degree,Man
35-44,GOVERNMENT  & PUBLIC ADMINISTRATION,Associate Director,75500,0,USD,NA,United States,Idaho,Pocatello,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,HEALTH CARE,Receptionist,30000,0,USD,NA,United States,Idaho,Pocatello,5-7 years,5-7 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Salesforce Administrator,60000,0,USD,NA,United States,Idaho,Pocatello,11 - 20 years,8 - 10 years,College Degree,Woman
45-54,EDUCATION (PRIMARY/SECONDARY),Special Education Teacher,38,0,USD,NA,United States,Idaho,Pocatello,21 - 30 years,11 - 20 years,Master'S Degree,Woman
55-64,INSURANCE,Title Officer,60000,5000,USD,NA,United States,Idaho,Pocatello,11 - 20 years,11 - 20 years,Some College,Woman
45-54,GOVERNMENT AND PUBLIC ADMINISTRATION,Librarian,42800,0,USD,NA,United States,Idaho,Pocatello,11 - 20 years,8 - 10 years,Master'S Degree,Woman
35-44,RETAIL,Store Team Leader,65000,2000,USD,NA,United States,California,Pollock Pines,11 - 20 years,5-7 years,Some College,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Director Of Innovation,150000,0,USD,NA,United States,Connecticut,Pomfret,21 - 30 years,21 - 30 years,Master'S Degree,Woman
35-44,HEALTH CARE,Clinical Psychologist,78000,0,USD,NA,United States,California,Pomona,8 - 10 years,11 - 20 years,PH.D.,Woman
45-54,ART & DESIGN,Graphic Designer,59000,2000,USD,NA,United States,California,Pomona,21 - 30 years,21 - 30 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Quality Technician  II,50835,7000,USD,NA,United States,California,Pomona,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Scholarly Communication Librarian,60000,2000,USD,NA,United States,California,Pomona,11 - 20 years,8 - 10 years,Master'S Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Construction Project Manager,85000,0,USD,NA,United States,Florida,Pompano Beach,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,SOCIAL WORK,Energy Assistance Case Manager,38875,125,USD,NA,United States,Michigan,Pontiac,5-7 years,5-7 years,College Degree,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Business Administration Assistant,20019,0,GBP,NA,United Kingdom,Unknown,Pontypool,21 - 30 years,21 - 30 years,Some College,Woman
55-64,GOVERNMENT AND PUBLIC ADMINISTRATION,PA (Personal Assistant),24100,0,GBP,NA,United Kingdom,Unknown,Poole,31 - 40 years,21 - 30 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Technical Specialist III,125000,2000,USD,NA,United States,Georgia,"Pooler, Ga",21 - 30 years,21 - 30 years,Master'S Degree,Woman
45-54,AGRICULTURE OR FORESTRY,Training Specialist,95000,2000,USD,NA,United States,Michigan,Port Austin,21 - 30 years,21 - 30 years,College Degree,Woman
35-44,NONPROFITS,Museum Director Curator,60000,2000,CAD,NA,Canada,Ontario,"Port Carling, Muskoka",11 - 20 years,2 - 4 years,College Degree,Woman
35-44,ART & DESIGN,Executive Director,100000,0,USD,NA,United States,New York,Port Chester,11 - 20 years,11 - 20 years,Master'S Degree,Woman
45-54,FOOD DISTRIBUTION,Office And Accounting Manager,50960,4000,CAD,NA,Canada,Ontario,Port Coquitlam,31 - 40 years,11 - 20 years,College Degree,Woman
35-44,LAW,Legal Practitioner,20000,2000,Other,NGN,Nigeria,Unknown,Port Harcourt,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,RECRUITMENT OR HR,HR  Assistant,38000,300,USD,NA,United States,Washington,Port Orchard,11 - 20 years,2 - 4 years,High School,Woman
55-64,EDUCATION (PRIMARY/SECONDARY),Office Manager / Bookkeeper,44100,2400,USD,NA,United States,Washington,Port Orchard,31 - 40 years,5-7 years,Some College,Woman
